ID		Name		lat		lon		CountryCode
819827		Razvilka	55.591667	37.740833	RU
524901		Moscow		55.752220	37.615555	RU
2973393		Tarascon	43.805828	4.660280	FR
666767		Slatina		44.433331	24.366671	RO
683506		Bucharest	44.432251	26.10626	RO
819827		Razvilka	55.591667	37.740833	RU
2973393		Tarascon	43.805828	4.660280	FR
819827		Razvilka	55.591667	37.740833	RU
666767		Slatina		44.433331	24.366671	RO
683506		Bucharest	44.432251	26.10626	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
666767		Slatina		44.433331	24.366671	RO
819827		Razvilka	55.591667	37.740833	RU
666767		Slatina		44.433331	24.366671	RO
524901		Moscow		55.752220	37.615555	RU
524901		Moscow		55.752220	37.615555	RU
