ID		nm		lat		lon		countryCode
819827	        Razvilka	55.591667       37.740833	RU
524901	        Moscow	        55.752220       37.615555	RU
2973393	        Tarascon	43.805828       4.660280	FR
2986678	        Ploufragan	48.491409       -2.794580	FR
8260056		Pentre		51.654289	-3.49133	GB
8260052		Pontyclun	51.521622	-3.39145	GB
8197226		Sumberbening	-8.5394		114.110298	ID
8197220		Sidorukun	-8.5898		114.118896	ID
8146894		Molotino	53.277199	28.5937		BY
8147026		Podzamsha	52.8806		28.688999	BY
8143444		Wufeng		26.105181	119.278397	CN
8143445		Huada		26.10074	119.287239	CN
3182671		Auronzo		46.555561	12.43806	IT
3183553		Acciano		42.176529	13.7171		IT
3113724		Perillo		43.338161	-8.37356	ES
3114726		Outes		42.861889	-8.90182	ES
683506		Bucharest	44.432251	26.10626	RO
666767		Slatina		44.433331	24.366671	RO
1713434		Gabuyan		7.60806		125.668892	PH
1713494		Gabao		13.0		124.01667	PH
